gene,logfoldchange,pvals,pvals_adj,group
Olfr1033,1.4035204648971558,2.884602370224734e-137,1.1538409480898936e-135,Fib.5
Steap4,1.9281522035598755,8.111247221779241e-137,3.1808812634428394e-135,Fib.5
Col1a1,1.4990226030349731,8.986335855922585e-133,3.456283021508687e-131,Fib.5
Pdlim3,2.1086270809173584,8.562266106156354e-127,3.2310438136439075e-125,Fib.5
Rhoj,1.1672955751419067,2.3658013416319146e-126,8.762227191229314e-125,Fib.5
Magi2,1.3710248470306396,5.4565737405638955e-124,1.9842086329323257e-122,Fib.5
Tbx20,1.155579686164856,3.09277168203623e-119,1.0851830463285016e-117,Fib.5
Fst,3.8345894813537598,3.235920209952335e-115,1.1158345551559775e-113,Fib.5
Meg3,1.3258622884750366,8.54488562942315e-115,2.896571399804458e-113,Fib.5
Serpine2,1.08638596534729,6.004834586493869e-111,2.0016115288312898e-109,Fib.5
Tnfaip6,1.3972352743148804,8.310893815702183e-105,2.680933488936188e-103,Fib.5
Mt1,1.175313949584961,3.1917007281171603e-103,1.0132383263864e-101,Fib.5
Ngf,1.173762321472168,3.877328800695025e-101,1.2116652502171952e-99,Fib.5
Adm,1.8130104541778564,1.0175334240335116e-100,3.1308720739492663e-99,Fib.5
Gnai1,2.4163477420806885,1.3467326153910763e-100,4.0810079254275035e-99,Fib.5
Nmb,1.9200466871261597,1.7727061814056864e-100,5.291660243002048e-99,Fib.5
Igfbp3,2.8335890769958496,4.1013528165787044e-100,1.2062802401702071e-98,Fib.5
Lvrn,1.6031936407089233,9.848106099718706e-100,2.854523507164842e-98,Fib.5
Dpyd,1.9311306476593018,1.2002858433627884e-95,3.4293881238936806e-94,Fib.5
Cxcl14,2.3763461112976074,1.3252031365114553e-88,3.581630098679609e-87,Fib.5
Slc1a3,1.7453826665878296,2.1194900259508906e-88,5.577605331449712e-87,Fib.5
Slc4a4,1.6596847772598267,1.3929389214812011e-87,3.618023172678445e-86,Fib.5
Pappa,2.7416412830352783,1.501155425280903e-86,3.8491164750792384e-85,Fib.5
1200007C13Rik,2.009434938430786,8.667474324638687e-85,2.1668685811596718e-83,Fib.5
Tox,2.3424594402313232,2.8768587910078507e-83,6.932189857850243e-82,Fib.5
Alkal2,2.9705376625061035,9.565268041116581e-83,2.277444771694424e-81,Fib.5
Mdk,2.186619758605957,1.0831729855706109e-82,2.5486423189896724e-81,Fib.5
Nr2f2,1.102529764175415,1.3726834188190971e-81,3.1555940662507982e-80,Fib.5
Sned1,2.050379753112793,1.0264455436193883e-79,2.306619199144693e-78,Fib.5
Trf,1.020493507385254,1.1491691321426737e-79,2.553709182539275e-78,Fib.5
Adamts12,1.2517805099487305,1.6273004569192366e-79,3.576484520701619e-78,Fib.5
Dlg2,1.068037748336792,3.516830107143408e-79,7.645282841616105e-78,Fib.5
Tmem176b,1.1482549905776978,3.369361872609815e-78,7.16885504810599e-77,Fib.5
Chrm3,2.7734293937683105,2.0002386287971988e-75,4.211028692204629e-74,Fib.5
Maged2,1.0678791999816895,5.277317683347116e-72,1.0661247845145688e-70,Fib.5
Nkain2,2.993844985961914,3.2404116924040384e-71,6.480823384808076e-70,Fib.5
Fgf10,3.2201056480407715,3.697397011427009e-71,7.321578240449522e-70,Fib.5
Vegfd,2.6077980995178223,1.2626064224668933e-69,2.428089273974795e-68,Fib.5
C7,1.5997297763824463,2.003852519679393e-69,3.816861942246463e-68,Fib.5
Gabra3,1.5854219198226929,1.0983675105899316e-64,1.9269605448946168e-63,Fib.5
Cnmd,3.6812098026275635,1.0923805829798685e-62,1.8359337529073423e-61,Fib.5
Mt2,1.0236238241195679,2.6293027278379806e-62,4.382171213063301e-61,Fib.5
Cdh19,1.2482457160949707,5.058054268178875e-62,8.291892242916189e-61,Fib.5
Apod,1.4486382007598877,4.041314849415929e-60,6.466103759065486e-59,Fib.5
Il33,1.4395618438720703,8.687876798326793e-60,1.3790280632264751e-58,Fib.5
Sntg1,2.6144464015960693,6.627715292600549e-57,1.0196485065539305e-55,Fib.5
Tmem176a,1.022596836090088,3.528919308874451e-53,4.935551480943289e-52,Fib.5
Ccl11,1.875823974609375,6.404768112713891e-47,7.579607233980936e-46,Fib.5
Gucy1a1,1.2209346294403076,2.877097335754397e-45,3.2694287906299965e-44,Fib.5
Slit2,1.2081025838851929,3.818573904809273e-44,4.29053247731379e-43,Fib.5
Pi15,1.0265660285949707,6.195172887264169e-44,6.9219808796247705e-43,Fib.5
Lox,1.4575209617614746,1.287745520070041e-38,1.2687147980985624e-37,Fib.5
Rbp4,2.678358554840088,1.4078479995381923e-38,1.3802431368021494e-37,Fib.5
Hand2os1,1.504581093788147,6.742128011619798e-38,6.482815395788268e-37,Fib.5
Ahsg,2.3038015365600586,7.348471853569398e-38,6.998544622447046e-37,Fib.5
Adh1,1.6182146072387695,1.1252924533604163e-37,1.0615966541136004e-36,Fib.5
Aldh1a2,1.1724482774734497,7.906860423471467e-35,6.644420523925603e-34,Fib.5
Mmp3,1.8043749332427979,1.3334252511199501e-34,1.106576971883776e-33,Fib.5
Gpc3,2.373603343963623,1.5893292801084379e-34,1.3134952728168909e-33,Fib.5
Ccn5,1.6034678220748901,1.6588527962439374e-32,1.2909360282053987e-31,Fib.5
Il6,1.0552295446395874,2.465368510226514e-32,1.9111383800205535e-31,Fib.5
Synpo2,1.008638620376587,7.779453834930276e-30,5.383705076076316e-29,Fib.5
Sfrp2,2.0500643253326416,1.5693397914818454e-25,9.687282663468181e-25,Fib.5
Ikzf4,1.1964128017425537,3.5501169005422002e-25,2.1581257754055928e-24,Fib.5
Gpr39,1.6030614376068115,5.684858304817687e-25,3.414329312202814e-24,Fib.5
Epha7,1.7425048351287842,2.3726201921220014e-22,1.2790405348366585e-21,Fib.5
Enpp6,1.8826868534088135,6.515837668579614e-22,3.48440517036343e-21,Fib.5
Fetub,1.5005254745483398,1.311794176315455e-21,6.9041798753445e-21,Fib.5
Vwc2,2.0754446983337402,1.3236724699964644e-21,6.948411915991939e-21,Fib.5
Angptl4,1.0273979902267456,2.6389486021969883e-20,1.3261048252246171e-19,Fib.5
Tst,1.7743381261825562,8.343750052081906e-20,4.1102217005329585e-19,Fib.5
Gm26802,1.3761069774627686,1.3004153945510054e-19,6.3434897295171e-19,Fib.5
Cfb,2.2358646392822266,1.3202220855401026e-18,6.2274626676419935e-18,Fib.5
Cxcl5,2.838817834854126,8.421662107642297e-16,3.606707540746166e-15,Fib.5
Piezo2,1.9026840925216675,1.161773149971796e-15,4.954256503078022e-15,Fib.5
Gm26885,1.186214566230774,8.177108145443187e-15,3.4000449669202446e-14,Fib.5
Unc5c,1.1417967081069946,1.7367391296730003e-14,7.14707460770782e-14,Fib.5
Aff2,1.312948226928711,3.7734957834068035e-14,1.530829932416553e-13,Fib.5
Gria4,3.113295793533325,6.688689084569152e-14,2.697052050229497e-13,Fib.5
Prr16,2.567100763320923,1.2250201007576741e-13,4.909900203437571e-13,Fib.5
Rgs7,1.6562306880950928,2.7592644299241967e-13,1.0884672307393282e-12,Fib.5
Adam12,1.414620280265808,3.8297259678223194e-13,1.5018533207146351e-12,Fib.5
Fbn2,2.1059377193450928,5.841987241528203e-13,2.2687329093313407e-12,Fib.5
Shisa9,4.187559127807617,7.499996778649609e-13,2.9069754956006234e-12,Fib.5
Lepr,1.0311030149459839,9.033709160467481e-13,3.474503523256723e-12,Fib.5
Rgs6,1.027405023574829,4.108259050907896e-12,1.535797776040335e-11,Fib.5
Slc25a21,2.1200876235961914,1.5639123821617495e-11,5.6766329661043534e-11,Fib.5
Gdf10,3.0092508792877197,2.6152405808463516e-11,9.407340218871768e-11,Fib.5
Adra1a,3.51043701171875,3.1969555428731093e-11,1.1438123588096991e-10,Fib.5
2600014E21Rik,2.174591541290283,1.281270058081314e-10,4.4643556030707807e-10,Fib.5
Rasef,1.300315022468567,2.5669890926739597e-10,8.791058536554657e-10,Fib.5
Ism1,1.6410973072052002,5.149710254227028e-10,1.7368331380192337e-09,Fib.5
Adamtsl1,1.9392225742340088,2.0794685206164407e-09,6.773513096470491e-09,Fib.5
Ptn,1.1315147876739502,7.3199849879473686e-09,2.3461490345985157e-08,Fib.5
Lcn2,1.791554570198059,5.86806747446833e-08,1.8027857064418833e-07,Fib.5
Asb4,1.3792486190795898,2.5312862638720527e-07,7.511235204368108e-07,Fib.5
Lrrtm3,1.5140526294708252,3.4043605537741245e-07,9.983462034528224e-07,Fib.5
Rspo3,1.778092861175537,3.5327371448696894e-07,1.0329640774472776e-06,Fib.5
Cd163,-5.1085686683654785,3.2725149017832e-06,9.015192566895868e-06,Fib.5
Efhd1,-1.3389204740524292,3.2350869063425176e-06,8.924377672669014e-06,Fib.5
C430049B03Rik,-4.078556537628174,3.2253684794132773e-06,8.90985767793723e-06,Fib.5
Ciita,-4.964339733123779,3.214195921300574e-06,8.891275024344603e-06,Fib.5
E330020D12Rik,-6.035294532775879,3.18666716742537e-06,8.827332873754489e-06,Fib.5
Retreg1,-1.2704386711120605,2.8422992945338434e-06,7.906256730274946e-06,Fib.5
Trp53i11,-1.548704981803894,2.7557388777032216e-06,7.676152862683068e-06,Fib.5
Ccl12,-3.1868958473205566,2.5303046912397987e-06,7.077775360111325e-06,Fib.5
Phf11b,-1.8375294208526611,2.3204032946369427e-06,6.499729116630092e-06,Fib.5
Fgr,-5.850059986114502,1.6387042374533895e-06,4.609575914074233e-06,Fib.5
Ifi209,-5.866511344909668,1.6311864816280418e-06,4.59489149754378e-06,Fib.5
Flt4,-5.264565467834473,1.2605339303606123e-06,3.560830311753142e-06,Fib.5
Art3,-1.1501874923706055,1.2025564418740976e-06,3.406675472731155e-06,Fib.5
Cass4,-4.958980083465576,1.076450697313504e-06,3.0580985719133637e-06,Fib.5
Nlrp1b,-7.821221828460693,1.010992293078244e-06,2.8762227399096563e-06,Fib.5
Rnf180,-4.770229339599609,7.616466124458166e-07,2.1792463875416785e-06,Fib.5
Cd180,-4.038632869720459,7.573316030466505e-07,2.1700045932568784e-06,Fib.5
Osm,-4.615177154541016,7.018742629646313e-07,2.013986407359057e-06,Fib.5
Gfod1,-1.2532848119735718,6.456092737388046e-07,1.8578684136368478e-06,Fib.5
Tagap,-5.327122211456299,5.919171793350272e-07,1.7082746878355764e-06,Fib.5
Zfand2a,-1.4227131605148315,5.115639809494705e-07,1.4785086154608974e-06,Fib.5
Folr2,-3.994622230529785,4.3308879435496037e-07,1.253513152981072e-06,Fib.5
Rgs5,-3.689453601837158,4.076975816532647e-07,1.183447261693076e-06,Fib.5
Ifi30,-1.0847421884536743,4.071621166962969e-07,1.183447261693076e-06,Fib.5
Adgrg6,-5.779794216156006,3.823817294129618e-07,1.1148155376471188e-06,Fib.5
Stmn1,-1.8044131994247437,3.23457886207332e-07,9.513467241392116e-07,Fib.5
